"","state","year","cigsale","lnincome","beer","age15to24","retprice","stateno"
"1","Alabama",1970,89.8,NA,NA,0.17886178,39.6,1
"2","Alabama",1971,95.4,NA,NA,0.17992784,42.7,1
"3","Alabama",1972,101.1,9.498476,NA,0.1809939,42.3,1
"4","Alabama",1973,102.9,9.550107,NA,0.18205994,42.1,1
"5","Alabama",1974,108.2,9.537163,NA,0.183126,43.1,1
"6","Alabama",1975,111.7,9.540031,NA,0.18419206,46.6,1
"7","Alabama",1976,116.2,9.5919075,NA,0.18525812,50.4,1
"8","Alabama",1977,117.1,9.617496,NA,0.18632418,50.1,1
"9","Alabama",1978,123,9.654072,NA,0.18739022,55.1,1
"10","Alabama",1979,121.4,9.64918,NA,0.18845628,56.8,1
"11","Alabama",1980,123.2,9.612194,NA,0.18952234,60.6,1
"12","Alabama",1981,119.6,9.609594,NA,0.18584223,68.8,1
"13","Alabama",1982,119.1,9.59758,NA,0.18216212,73.1,1
"14","Alabama",1983,116.3,9.626769,NA,0.17848201,84.4,1
"15","Alabama",1984,113,9.671621,18,0.1748019,90.8,1
"16","Alabama",1985,114.5,9.703193,18.7,0.17112179,99,1
"17","Alabama",1986,116.3,9.74595,19.3,0.16744168,103,1
"18","Alabama",1987,114,9.762092,19.4,0.16376157,110,1
"19","Alabama",1988,112.1,9.78177,19.4,0.16008146,114.4,1
"20","Alabama",1989,105.6,9.802527,19.4,0.15640135,122.3,1
"21","Alabama",1990,108.6,9.81429,20.1,0.15272124,139.1,1
"22","Alabama",1991,107.9,9.81926,20.1,NA,144.4,1
"23","Alabama",1992,109.1,9.845286,20.4,NA,172.2,1
"24","Alabama",1993,108.5,9.85216,20.3,NA,176.2,1
"25","Alabama",1994,107.1,9.879334,21,NA,154.6,1
"26","Alabama",1995,102.6,9.924404,20.6,NA,155.1,1
"27","Alabama",1996,101.4,9.940027,21,NA,158.3,1
"28","Alabama",1997,104.9,9.93727,20.8,NA,167.4,1
"29","Alabama",1998,106.2,NA,NA,NA,180.5,1
"30","Alabama",1999,100.7,NA,NA,NA,195.6,1
"31","Alabama",2000,96.2,NA,NA,NA,270.7,1
"32","Arkansas",1970,100.3,NA,NA,0.16900676,36.7,2
"33","Arkansas",1971,104.1,NA,NA,0.16995385,38.8,2
"34","Arkansas",1972,103.9,9.464514,NA,0.17090096,44.1,2
"35","Arkansas",1973,108,9.55683,NA,0.17184804,45.1,2
"36","Arkansas",1974,109.7,9.542286,NA,0.17279513,45.5,2
"37","Arkansas",1975,114.8,9.514094,NA,0.17374223,48.6,2
"38","Arkansas",1976,119.1,9.558153,NA,0.17468932,50.9,2
"39","Arkansas",1977,122.6,9.590923,NA,0.17563641,52.6,2
"40","Arkansas",1978,127.3,9.657238,NA,0.1765835,56.5,2
"41","Arkansas",1979,126.5,9.6335335,NA,0.1775306,58.4,2
"42","Arkansas",1980,131.8,9.573803,NA,0.17847769,61.5,2
"43","Arkansas",1981,128.7,9.593041,NA,0.17501111,64.7,2
"44","Arkansas",1982,127.4,9.5737,NA,0.17154454,72.1,2
"45","Arkansas",1983,128,9.593053,NA,0.16807795,82,2
"46","Arkansas",1984,123.1,9.65044,17.9,0.16461137,93.6,2
"47","Arkansas",1985,125.8,9.675527,18.1,0.1611448,98.5,2
"48","Arkansas",1986,126,9.705939,18.7,0.15767822,103.6,2
"49","Arkansas",1987,122.3,9.705574,19,0.15421164,113,2
"50","Arkansas",1988,121.5,9.721532,18.9,0.15074505,119.9,2
"51","Arkansas",1989,118.3,9.7373705,19,0.14727847,127.7,2
"52","Arkansas",1990,113.1,9.736311,19.9,0.1438119,141.2,2
"53","Arkansas",1991,116.8,9.743068,19.9,NA,146.5,2
"54","Arkansas",1992,126,9.788629,20,NA,177.3,2
"55","Arkansas",1993,113.8,9.785142,19.7,NA,179.9,2
"56","Arkansas",1994,108.8,9.813631,19.7,NA,168.1,2
"57","Arkansas",1995,113,9.86446,19.5,NA,167.3,2
"58","Arkansas",1996,110.7,9.885234,20.1,NA,167.1,2
"59","Arkansas",1997,108.7,9.883107,19.8,NA,181.3,2
"60","Arkansas",1998,109.5,NA,NA,NA,187.3,2
"61","Arkansas",1999,104.8,NA,NA,NA,206.9,2
"62","Arkansas",2000,99.4,NA,NA,NA,279.3,2
"63","California",1970,123,NA,NA,0.17815833,38.8,3
"64","California",1971,121,NA,NA,0.17929636,39.7,3
"65","California",1972,123.5,9.930814,NA,0.18043439,39.9,3
"66","California",1973,124.4,9.955092,NA,0.18157241,39.9,3
"67","California",1974,126.7,9.947999,NA,0.18271044,41.9,3
"68","California",1975,127.1,9.937167,NA,0.18384847,45,3
"69","California",1976,128,9.976858,NA,0.1849865,48.3,3
"70","California",1977,126.4,10.0027,NA,0.18612453,49,3
"71","California",1978,126.1,10.045565,NA,0.18726255,58.7,3
"72","California",1979,121.9,10.0546875,NA,0.18840058,60.1,3
"73","California",1980,120.2,10.037841,NA,0.18953861,62.1,3
"74","California",1981,118.6,10.028626,NA,0.18553706,66.4,3
"75","California",1982,115.4,10.01253,NA,0.1815355,72.8,3
"76","California",1983,110.8,10.031737,NA,0.17753394,84.9,3
"77","California",1984,104.8,10.075359,25,0.17353238,94.9,3
"78","California",1985,102.8,10.099703,24,0.16953082,98,3
"79","California",1986,99.7,10.127267,24.7,0.16552927,104.4,3
"80","California",1987,97.5,10.134301,24.1,0.16152771,103.9,3
"81","California",1988,90.1,10.141663,23.6,0.15752615,117.4,3
"82","California",1989,82.4,10.142313,23.7,0.15352459,126.4,3
"83","California",1990,77.8,10.141623,23.8,0.14952303,163.8,3
"84","California",1991,68.7,10.110714,22.3,NA,186.8,3
"85","California",1992,67.5,10.114939,21.3,NA,201.9,3
"86","California",1993,63.4,10.098497,20.8,NA,205.1,3
"87","California",1994,58.6,10.099508,20.1,NA,190.3,3
"88","California",1995,56.4,10.155916,19.7,NA,195.1,3
"89","California",1996,54.5,10.178637,19.1,NA,197.9,3
"90","California",1997,53.8,10.17519,19.5,NA,200.3,3
"91","California",1998,52.3,NA,NA,NA,207.8,3
"92","California",1999,47.2,NA,NA,NA,224.9,3
"93","California",2000,41.6,NA,NA,NA,351.2,3
"94","Colorado",1970,124.8,NA,NA,0.19095023,29.4,4
"95","Colorado",1971,125.5,NA,NA,0.19164759,31.1,4
"96","Colorado",1972,134.3,9.805548,NA,0.19234496,31.2,4
"97","Colorado",1973,137.9,9.848413,NA,0.19304232,32.7,4
"98","Colorado",1974,132.8,9.840451,NA,0.19373968,38.1,4
"99","Colorado",1975,131,9.828461,NA,0.19443706,41.7,4
"100","Colorado",1976,134.2,9.858913,NA,0.19513442,44.8,4
"101","Colorado",1977,132,9.888447,NA,0.19583178,44.7,4
"102","Colorado",1978,129.2,9.933751,NA,0.19652914,57.4,4
"103","Colorado",1979,131.5,9.94222,NA,0.19722651,52.8,4
"104","Colorado",1980,131,9.943612,NA,0.19792387,54.6,4
"105","Colorado",1981,133.8,9.9572735,NA,0.19186871,58.1,4
"106","Colorado",1982,130.5,9.962617,NA,0.18581356,61.4,4
"107","Colorado",1983,125.3,9.978037,NA,0.1797584,73.3,4
"108","Colorado",1984,119.7,10.002046,25.7,0.17370325,83.4,4
"109","Colorado",1985,112.4,10.000779,25.2,0.16764809,93.1,4
"110","Colorado",1986,109.9,10.001593,25.5,0.16159293,95.1,4
"111","Colorado",1987,102.4,9.994427,24.8,0.15553778,108.6,4
"112","Colorado",1988,94.6,10.018831,24.2,0.14948262,116,4
"113","Colorado",1989,88.8,10.043063,23.9,0.14342748,130.8,4
"114","Colorado",1990,87.4,10.046251,24.2,0.13737231,149.3,4
"115","Colorado",1991,90.2,10.054761,23.5,NA,152.6,4
"116","Colorado",1992,88.3,10.0663395,23.7,NA,157.5,4
"117","Colorado",1993,88.6,10.079669,23.5,NA,168.2,4
"118","Colorado",1994,89.1,10.097464,23.1,NA,153.2,4
"119","Colorado",1995,85.4,10.16635,24.4,NA,164.2,4
"120","Colorado",1996,83.1,10.191437,24.8,NA,169.6,4
"121","Colorado",1997,81.3,10.2038965,24,NA,174.4,4
"122","Colorado",1998,81.2,NA,NA,NA,185.8,4
"123","Colorado",1999,79.6,NA,NA,NA,204.2,4
"124","Colorado",2000,73,NA,NA,NA,281.3,4
"125","Connecticut",1970,120,NA,NA,0.16292876,42.2,5
"126","Connecticut",1971,117.6,NA,NA,0.1646539,45.5,5
"127","Connecticut",1972,110.8,9.981137,NA,0.16637905,51.3,5
"128","Connecticut",1973,109.3,10.012989,NA,0.16810419,50.6,5
"129","Connecticut",1974,112.4,9.988535,NA,0.16982932,52.5,5
"130","Connecticut",1975,110.2,9.960749,NA,0.17155448,54.5,5
"131","Connecticut",1976,113.4,9.993227,NA,0.17327961,57.6,5
"132","Connecticut",1977,117.3,10.028069,NA,0.17500475,58.4,5
"133","Connecticut",1978,117.5,10.063203,NA,0.17672989,61.7,5
"134","Connecticut",1979,117.4,10.075508,NA,0.17845504,64.4,5
"135","Connecticut",1980,118,10.074763,NA,0.18018018,67,5
"136","Connecticut",1981,116.4,10.079572,NA,0.17605005,80.1,5
"137","Connecticut",1982,114.7,10.090163,NA,0.17191993,85.6,5
"138","Connecticut",1983,114.1,10.12007,NA,0.16778982,95.6,5
"139","Connecticut",1984,112.5,10.181597,20.3,0.16365969,113.5,5
"140","Connecticut",1985,111,10.212917,20.8,0.15952957,118.6,5
"141","Connecticut",1986,108.5,10.268609,20.6,0.15539944,118.5,5
"142","Connecticut",1987,109,10.309229,21.1,0.15126932,122.7,5
"143","Connecticut",1988,104.8,10.355395,20.7,0.1471392,129.7,5
"144","Connecticut",1989,100.6,10.366524,19.8,0.14300908,142,5
"145","Connecticut",1990,91.5,10.349302,19.8,0.13887896,171.2,5
"146","Connecticut",1991,86.7,10.324137,18.7,NA,175.6,5
"147","Connecticut",1992,83.5,10.3438425,18.3,NA,193.5,5
"148","Connecticut",1993,79.1,10.343544,17.9,NA,202.3,5
"149","Connecticut",1994,76.6,10.361299,17.9,NA,205.6,5
"150","Connecticut",1995,79.3,10.451002,17.6,NA,205.4,5
"151","Connecticut",1996,76,10.474495,17.2,NA,206.3,5
"152","Connecticut",1997,75.9,10.486617,17.5,NA,208.5,5
"153","Connecticut",1998,75.5,NA,NA,NA,217.9,5
"154","Connecticut",1999,73.4,NA,NA,NA,236.5,5
"155","Connecticut",2000,71.4,NA,NA,NA,312.3,5
"156","Delaware",1970,155,NA,NA,0.17335767,39,6
"157","Delaware",1971,161.1,NA,NA,0.17588721,41.3,6
"158","Delaware",1972,156.3,9.90993,NA,0.17841677,44.7,6
"159","Delaware",1973,154.7,9.948177,NA,0.18094632,44,6
"160","Delaware",1974,151.3,9.918258,NA,0.18347588,44.2,6
"161","Delaware",1975,147.6,9.887531,NA,0.18600543,45.9,6
"162","Delaware",1976,153,9.920685,NA,0.18853498,50.1,6
"163","Delaware",1977,153.3,9.933779,NA,0.19106454,51.7,6
"164","Delaware",1978,155.5,9.944127,NA,0.19359408,58.7,6
"165","Delaware",1979,150.2,9.926104,NA,0.19612364,60,6
"166","Delaware",1980,150.5,9.913744,NA,0.19865319,62.7,6
"167","Delaware",1981,152.6,9.901393,NA,0.19354601,66,6
"168","Delaware",1982,154.1,9.904337,NA,0.18843885,74.1,6
"169","Delaware",1983,149.6,9.934576,NA,0.18333167,82,6
"170","Delaware",1984,144,9.962282,26.6,0.1782245,91.1,6
"171","Delaware",1985,144.5,9.996334,26.2,0.17311732,98.7,6
"172","Delaware",1986,142.4,10.032092,26,0.16801015,105.2,6
"173","Delaware",1987,141,10.048571,25.9,0.16290298,111.4,6
"174","Delaware",1988,137.1,10.077722,25.7,0.1577958,119.3,6
"175","Delaware",1989,131.7,10.103605,24.9,0.15268864,124,6
"176","Delaware",1990,127.2,10.094804,25.8,0.14758146,140,6
"177","Delaware",1991,118.8,10.083064,24.9,NA,143.2,6
"178","Delaware",1992,120,10.091464,25.2,NA,174.7,6
"179","Delaware",1993,123.8,10.092083,26.2,NA,187.9,6
"180","Delaware",1994,126.1,10.131247,25.9,NA,152.5,6
"181","Delaware",1995,127.2,10.229653,24.6,NA,160.7,6
"182","Delaware",1996,128.3,10.262393,24.6,NA,169.1,6
"183","Delaware",1997,124.1,10.261678,24.9,NA,171.9,6
"184","Delaware",1998,132.8,NA,NA,NA,179.2,6
"185","Delaware",1999,139.5,NA,NA,NA,198.3,6
"186","Delaware",2000,140.7,NA,NA,NA,276.2,6
"187","Georgia",1970,109.9,NA,NA,0.1874455,34.3,7
"188","Georgia",1971,115.7,NA,NA,0.18786626,35.8,7
"189","Georgia",1972,117,9.63889,NA,0.18828699,40.9,7
"190","Georgia",1973,119.8,9.684865,NA,0.18870774,42.4,7
"191","Georgia",1974,123.7,9.659981,NA,0.18912847,42.4,7
"192","Georgia",1975,122.9,9.629609,NA,0.18954922,44.5,7
"193","Georgia",1976,125.9,9.67143,NA,0.18996997,47.9,7
"194","Georgia",1977,127.9,9.693337,NA,0.1903907,49.5,7
"195","Georgia",1978,130.6,9.736651,NA,0.19081146,54.7,7
"196","Georgia",1979,131,9.729302,NA,0.19123219,56.6,7
"197","Georgia",1980,134,9.701445,NA,0.19165294,59.3,7
"198","Georgia",1981,131.7,9.704944,NA,0.18797573,62.6,7
"199","Georgia",1982,131.2,9.707344,NA,0.18429853,67.8,7
"200","Georgia",1983,128.6,9.755732,NA,0.18062133,78.9,7
"201","Georgia",1984,126.3,9.82549,21.3,0.17694412,86.8,7
"202","Georgia",1985,128.8,9.862127,21.4,0.17326692,90.7,7
"203","Georgia",1986,129,9.913809,22.1,0.16958973,100.1,7
