"","code","country","year","gdp","infrate","trade","schooling","invest60","invest70","invest80","industry"
"1",1,"USA",1960,2879,1.075182,9.693181,43.799999,0.23884,0.24568,22.375999,34.508629
"2",1,"USA",1961,2929,1.075182,9.4446545,43.799999,0.23884,0.24568,22.375999,34.508629
"3",1,"USA",1962,3103,1.116071,9.4293242,43.799999,0.23884,0.24568,22.375999,34.508629
"4",1,"USA",1963,3227,1.214128,9.470706,43.799999,0.23884,0.24568,22.375999,34.508629
"5",1,"USA",1964,3420,1.308615,9.7258787,43.799999,0.23884,0.24568,22.375999,34.508629
"6",1,"USA",1965,3667,1.668461,9.7303467,43.799999,0.23884,0.24568,22.375999,34.508629
"7",1,"USA",1966,3974,2.9909999,10.097592,44.400002,0.23884,0.24568,22.375999,34.508629
"8",1,"USA",1967,4154,2.775636,10.208102,44.400002,0.23884,0.24568,22.375999,34.508629
"9",1,"USA",1968,4494,4.217721,10.593937,44.400002,0.23884,0.24568,22.375999,34.508629
"10",1,"USA",1969,4805,5.414701,10.635633,44.400002,0.23884,0.24568,22.375999,34.508629
"11",1,"USA",1970,4999,5.8952961,11.388641,44.400002,0.23884,0.24568,22.375999,34.508629
"12",1,"USA",1971,5362,4.255929,11.367576,42.599998,0.23884,0.24568,22.375999,34.508629
"13",1,"USA",1972,5838,3.3056149,11.967158,42.599998,0.23884,0.24568,22.375999,34.44429
"14",1,"USA",1973,6464,6.2200642,13.713565,42.599998,0.23884,0.24568,22.375999,34.37521
"15",1,"USA",1974,6951,11.03526,17.316135,42.599998,0.23884,0.24568,22.375999,34.03606
"16",1,"USA",1975,7519,9.1319304,16.37969,42.599998,0.23884,0.24568,22.375999,33.22567
"17",1,"USA",1976,8300,5.7370272,16.873659,62.900002,0.23884,0.24568,22.375999,33.760849
"18",1,"USA",1977,9146,6.4864602,17.220591,62.900002,0.23884,0.24568,22.375999,34.264641
"19",1,"USA",1978,10229,7.6474638,17.80619,62.900002,0.23884,0.24568,22.375999,34.037231
"20",1,"USA",1979,11306,11.26604,19.280546,62.900002,0.23884,0.24568,22.375999,33.62648
"21",1,"USA",1980,12186,13.50937,21.081579,62.900002,0.23884,0.24568,22.375999,33.514389
"22",1,"USA",1981,13533,10.31553,20.363241,57.400002,0.23884,0.24568,22.375999,34.08828
"23",1,"USA",1982,13940,6.1606159,18.471621,57.400002,0.23884,0.24568,22.375999,32.909691
"24",1,"USA",1983,15008,3.212435,17.624308,57.400002,0.23884,0.24568,22.375999,31.497219
"25",1,"USA",1984,16549,4.3172688,18.577013,57.400002,0.23884,0.24568,22.375999,31.87278
"26",1,"USA",1985,17600,3.561116,17.642408,57.400002,0.23884,0.24568,22.375999,30.864519
"27",1,"USA",1986,18439,1.858736,17.954124,44.400002,0.23884,0.24568,22.375999,29.44326
"28",1,"USA",1987,19407,3.740876,19.116186,44.400002,0.23884,0.24568,22.375999,29.19973
"29",1,"USA",1988,20711,4.009088,20.330818,44.400002,0.23884,0.24568,22.375999,29.606489
"30",1,"USA",1989,22047,4.827003,20.730293,44.400002,0.23884,0.24568,22.375999,28.61904
"31",1,"USA",1990,23064,5.3979559,21.18795,44.400002,0.23884,0.24568,22.375999,27.850321
"32",1,"USA",1991,23507,4.2349639,21.26635,44.599998,0.23884,0.24568,22.375999,26.62006
"33",1,"USA",1992,24509,3.02882,21.54221,44.599998,0.23884,0.24568,22.375999,25.72843
"34",1,"USA",1993,25409,2.9516571,21.55765,44.599998,0.23884,0.24568,22.375999,25.61001
"35",1,"USA",1994,26670,2.6074419,22.618219,44.599998,0.23884,0.24568,22.375999,26.082951
"36",1,"USA",1995,27574,2.8054199,24.273979,44.599998,0.23884,0.24568,22.375999,26.29285
"37",1,"USA",1996,28814,2.9312041,24.58247,39.599998,0.23884,0.24568,22.375999,25.7854
"38",1,"USA",1997,30262,2.3376901,25.591539,39.599998,0.23884,0.24568,22.375999,25.384291
"39",1,"USA",1998,31519,1.552279,24.690569,39.599998,0.23884,0.24568,22.375999,25.018841
"40",1,"USA",1999,33028,2.1880269,24.690569,39.599998,0.23884,0.24568,22.375999,24.72505
"41",1,"USA",2000,34603,3.376857,24.690569,39.599998,0.23884,0.24568,22.375999,24.443489
"42",1,"USA",2001,35341,2.8261709,24.690569,39.599998,0.23884,0.24568,22.375999,23.04858
"43",1,"USA",2002,36180,1.586032,24.690569,39.599998,0.23884,0.24568,22.375999,23.04858
"44",1,"USA",2003,37548,2.2700951,24.690569,39.599998,0.23884,0.24568,22.375999,23.04858
"45",2,"UK",1960,2158,3.5794179,43.25547,24.5,0.2008,0.22601999,17.587999,43.07859
"46",2,"UK",1961,2216,3.5794179,41.533241,26.5,0.2008,0.22601999,17.587999,43.07859
"47",2,"UK",1962,2276,4.103672,40.404633,26.5,0.2008,0.22601999,17.587999,43.07859
"48",2,"UK",1963,2386,2.0746889,40.406586,26.5,0.2008,0.22601999,17.587999,43.07859
"49",2,"UK",1964,2534,3.2113819,40.518764,26.5,0.2008,0.22601999,17.587999,43.07859
"50",2,"UK",1965,2660,4.8050408,39.225338,26.5,0.2008,0.22601999,17.587999,43.07859
"51",2,"UK",1966,2794,3.9083049,38.964634,28.9,0.2008,0.22601999,17.587999,43.07859
"52",2,"UK",1967,2923,2.423146,39.313187,28.9,0.2008,0.22601999,17.587999,43.07859
"53",2,"UK",1968,3173,4.731638,43.665131,28.9,0.2008,0.22601999,17.587999,43.07859
"54",2,"UK",1969,3391,5.4619021,44.038982,28.9,0.2008,0.22601999,17.587999,43.07859
"55",2,"UK",1970,3615,6.3618932,45.247738,28.9,0.2008,0.22601999,17.587999,43.07859
"56",2,"UK",1971,3854,9.4078751,44.933399,31,0.2008,0.22601999,17.587999,43.07859
"57",2,"UK",1972,4149,7.0879121,43.559044,31,0.2008,0.22601999,17.587999,42.560081
"58",2,"UK",1973,4683,9.2098513,49.803581,31,0.2008,0.22601999,17.587999,42.135399
"59",2,"UK",1974,5036,15.90322,60.96212,31,0.2008,0.22601999,17.587999,41.623749
"60",2,"UK",1975,5481,24.235081,53.562061,31,0.2008,0.22601999,17.587999,40.488178
"61",2,"UK",1976,5953,16.532551,58.169788,32.900002,0.2008,0.22601999,17.587999,41.08992
"62",2,"UK",1977,6489,15.88198,59.420418,32.900002,0.2008,0.22601999,17.587999,41.33041
"63",2,"UK",1978,7176,8.2159624,55.656792,32.900002,0.2008,0.22601999,17.587999,41.465809
